userName,score,at,content
Pengguna Google,4,2025-03-20 06:29:15,"game nya bagus. cuman kurangin dikit iklan nya, dan tolong tambahkan fitur main bareng(mabar) sama teman, bisa offline bisa juga online, biar semakin seru, dan juga tambahkan lagu agar teman"" nyaman main game block blast."
Pengguna Google,3,2025-04-10 08:34:10,"gamenya tuh bagus keren tampilannya, tapi ini masalahnya setiap mau naik level kalah, sama mau taruh balok yang benar kalah seperti pemainnya di curangi oleh pembuat, jadi untuk pembuat game ini tolong di update dengan lebih mudah agar yang main game ini tidak emosi itu saja pendapat dari saya dan teman teman saya terimakasih 🙏🙏"
Pengguna Google,3,2025-03-31 17:58:54,"game nya seru....!!!! banget, tapi dikit-dikit iklan dikit-dikit iklan apalah minimal iklan sekali berapa menit itu ada iklan masak setiap kalah ada iklan iklan iklan, iklan aaja terus cape gw, ya kalau ga mau matiin aja datanya, kan nanti ada pesan gimana lagi seru serunya pesan kita ga masuk gara gara mainin block blast ini kebanyakan iklan maruk ga si lu mentang Y game nya banyak yg main ih uyyy dasar"
Pengguna Google,5,2025-03-28 14:58:51,"Awalnya ini game puzzle biasa-biasa saja. Tapi game ini selalu muncul di beranda TikTok saya terus. Ya saya awalnya biasa aja karna cuma puzzle biasa doanglah. tapi, lama-lama aku mulai kesal karena game ini selalu muncul di beranda TikTok saya Mulu. Lalu setelah itu aku download gamenya dan ternyata seru sekali!!!. Gamenya juga bisa dimainkan secara offline!!!."
Pengguna Google,2,2025-03-19 22:30:09,"entah ini bug atau memang di sengajai, di awal2 main memang diberikan kemudahan, tapi ketika udah mencapai skor yg tinggi, pola nya bakal berubah. penempatan box nya bakal di persulit dan kadang dapat box yg ga ada chance buat memang/ ke tahap selanjutnya. saya rasa ini memang di set up sedemikian rupa, karna sumber pemasukan app ini hanya di iklan, tapi ini cukup menjengkelkan! mungkin kedepannya bisa dibuat sistem membership atau ll, biar revenue tidak bergantung di ads saja"
Pengguna Google,5,2025-04-09 13:43:28,"Game seru bikin ketagihan sumpah tempat gua kalau gak ada kuota main game ini tapi lagi modenya kayak banyak banyak score Ama temen kayak mode online walaupun ada bug nya tapi tetep seru gak bisa di bandingin sama game lain game udah bagus seru lagi, developer tolong di tambahkan mode online"
Pengguna Google,5,2025-04-05 09:34:56,"overall game ini seru dan mengasikan, bikin ketegahihan. akan tetapi terkadang kenapa saat tiba tiba berakhir padahal masih ada block yang masih bisa ditempatkan? tolong diperbaiki ya"
Pengguna Google,5,2025-04-11 13:39:07,"ni game lebih susah dari game block lainnya, game ini memang menantang pemain buat capai skor digameplay Clasic apalagi klo udah skor tinggi bgt, untuk gameplay mode Rank yaa juga susah buat dimainin gw aja masih ngestuck dilevel 33🗿 yaa jadi ga ada yg harus diperbarui memang the best ni game cuy game ini juga ada manfaatnya bisa ngilangin gabut, diputusin pacar, bisa mabar sama temen (walaupun harus ngumpul dulu sama temen) DLL ya cuy jadi gitu penjelasan dari gw ya cuy :D"
Pengguna Google,5,2025-04-11 05:35:08,pliss candu sm ambelibabel nyaa 😭 dan ini di hp ku kadang lancar kadang gak juga kadang ada bug tp ga banyak kok aku suka bikin candu juga pllsssss main game ini deh kalian pasti suka bgt sm ini game ga tau knp ya rasanya seru bgt gitu pokoknya seru dehh nata block block nya itu lohhh seru bgt tp sayangnya kadang ada yg ga pas sihhh aku mainnya pas ga ada internet juga bisa tp y kadang suka ngelag dikittt tp gpp pokoknya game ini sukses terus bisa jadi game terkenal lup lup sekebon deh pokoknya
Pengguna Google,3,2025-04-11 14:08:23,"gamenya asik, seru, bikin nagihhh, tapi bisa ga dihapus iklannya beberapa ajaaa, iklannya terlalu banyak jadinya menggangu, revive ga revive tetep iklan,, jadi mohon bantuannya untuk update lebih dikurangi iklannya. segitu saja terimakasih"
Pengguna Google,5,2025-04-02 07:13:13,"Gamenya seru banget aku juga suka Menang terus tapi tolong ilangin iklan nya yah pas pake Kouta tuh selalu banyak iklan, tapi gpp yang penting gamenya seru makasih yang udh buat Block Blast game ini seru bgt apalagi Abang sama om aku juga pada main, game ini, game ini cocok untuk meredakan stres udah segitu aja pesan dari aku bye👋🏻................."
Pengguna Google,5,2025-03-26 15:29:57,"game nya menyerukan sekali ,,, bikin ketagihan,, game ini juga bisa melatih otak kita untuk berpikir menata kotak² tersebut ,, dengan warna² yang bagus membuat kita lebih tertarik ,, game nya juga menantangg ,, seruuuuuu pwoll👍👍"
Pengguna Google,2,2025-03-09 10:40:01,"sudah di update, tapi penilaian poin setiap handphone sepertinya memang beda. punya teman ada conventinya, punya saya kalau mau lanjut combo maximal 3 penempatan block sudah hilang. punya teman 6 penempatan block masih bisa lanjut combonya. NOT FAIR"
Pengguna Google,5,2025-04-10 14:06:21,"gamenya bagus, keren bgt. setiap mau melebihi best score, selalu dikasih bentuk yang susahh, pedahal udh fokus banget ehh malah 3 3nya gabisa dipasang, jadinya langsungg kalah. meskipun begitu ini game tetep seru banget! ampalibebel!"
Pengguna Google,1,2025-03-21 16:20:48,"Game pilih kasih, di android sama di iPhone beda, kalo di android 4000+ block nya suka stuck. Kalo di iPhone sampai 100000+ juga ga akan stuck asal bisa mikirin jalannya plus efeknya lebih bagus di iPhone dari pada android"
Pengguna Google,5,2025-04-10 04:52:04,game nya bagus banget gak ngebosenin kalo lagi bosen tinggal main BLOCK BLAST aja skor aku juga udah mencapai 92.352. beda dari game block yang lain sangat menginspirasi kan banget pastikan kalian yang belum downlod sekarang ayo downlod.
Pengguna Google,5,2025-03-20 05:13:12,Block Blast adalah permainan puzzle blok gratis dan populer. Bisa jadi pilihan terbaik ketika ingin menghabiskan waktu santai dan menantang otak. Tujuan dari permainan puzzle blok ini mudah namun menyenangkan: cocokkan dan bersihkan sebanyak mungkin blok berwarna di papan.
Pengguna Google,5,2025-02-27 09:32:15,game nya seru bikin ketagihan. cuman yang paling ngeselin adalah ketika game over pasti ada iklan dan iklannya SELALU nge bug dan layarnya hitam. jadinya harus keluar dulu trs masuk lagi. ngeseli banget. jadinya kadang mainnya ga pake wifi/kuota biar ga ada iklan. Seru sih cuman itu aja kurangnyaa.
Pengguna Google,5,2025-04-08 06:04:25,game nya bagus. cuman tidak ada pemberitahuan update. jadi ada pendownload yang menggunakan versi lama sama baru. ya itu doang sih menurutku overall sudah bagus. terus yang alasan ada iklan itu iklan udah sedikit loh lagian developer butuh makan 🤦
Pengguna Google,5,2025-02-19 13:01:16,"gamenya bagus dan keren, cuma ada bug nya waktu di iklan toko or*n, itu tiba"" layar saya ngeblank jadi hitam dan tidak bisa di mainkan, harus relog terlebih dahulu, mohon bug nya di benerin dulu ya🙏🏻"
Pengguna Google,5,2025-03-04 14:58:07,Block Blast adalah permainan teka-teki blok yang luar biasa! Saya sangat menyukai gameplay-nya yang sederhana namun mengasyikkan. Tujuan permainan ini sangat jelas dan menantang: hapus sebanyak mungkin blok untuk mendapatkan skor tertinggi. Saya juga sangat menyukai dua mode permainan yang ditawarkan: mode teka-teki blok klasik dan mode petualangan blok. Keduanya menawarkan keseruan yang tak terbatas dan membuat saya ingin terus memainkannya. Bintang 5 Dari saya!!!!!
Pengguna Google,5,2025-03-29 05:32:21,game nya seru bgt buat di mainin dan ga lag juga bisa kalo kita gabut buat main pokok nya ini seru baget deh kalian wajib coba ini si tapi kan kata bisa mabar tapi gimana cara nya ga kasih tau dong🤙👌✋ gimana cara nya semoga ulasan nya membantu ya teman teman
Pengguna Google,1,2025-04-13 04:11:59,"selalu memberikan 3 blcok baru yang tidak mungkin bisa dipasang, walaupun itu baru 3 dan belum terpasang satu pun atau adanya salah pasang oleh diriku sendiri, ini murni sistem block blast yang ngacor, ngaur, juga tidak jelas"
Pengguna Google,4,2025-04-08 18:41:02,"aku gak masalah soal rumitnya, tapi tolong jangan banyak bug balok yg gak sesuai/atau mati jalannya. yg bikin jengkel adalah ketika balok yg keluar itu membuat jalan buntu/tidak ada jalan lagi. kalau semisal balok yg keluar itu masih memberi jalan aku oke-oke aja, tapi game ini cukup bagus untuk mengisi kegabutan ku,thanks.."
Pengguna Google,5,2025-03-14 03:33:40,"Block Blast adalah permainan puzzle yang menyenangkan dan adiktif yang cocok untuk pemain yang mencari hiburan santai dan latihan otak. Dengan gameplay yang sederhana dan berbagai fitur menarik, permainan ini layak untuk dicoba."
Pengguna Google,1,2025-04-10 09:21:36,setiap saya kalah saya selalu menonton iklan kadang juga saya diberikan block yang kecil dan disaat block kecil nya habis malahan saya dikasi block yang besar lebar dan juga panjang jadinya saya harus nonton iklan lagi tapi malah sama dan juga disaat saya mau mau main classic saya ingin naruh block yang diberikan malahan panjang dan agak besar padahal sudah tidak muat jadinya saya langsung kalah dan itu menjengkelkan
Pengguna Google,5,2025-04-11 02:23:13,game nya seru aku udah dapat 34980 sampai-sampai aku kecanduan main game ini dan aku gak mau main game lain lagi selain block blast! emang bener block blast! gak kalah seru sama game lain tapi minusnya kadang ada lubang kecil eh tiba-tiba ada block gede aku sampai kezal
Pengguna Google,2,2025-04-12 13:31:46,"saya ingin menonton iklan untuk bisa melanjutkan progres saya,tetapi kenapa selalu tidak bisa padahal saya sudah menyalakan wifi/kadang malah data tetapi tetap tidak bisa"
Pengguna Google,5,2025-04-10 02:50:41,"sebenernya tidak ada kendala tapi untuk score itu lama nambahnya, misalnya aku udah unvaliveble tapi nambahnya cuman sekitar 100-200 an aja, setelah aku reset aplikasinya untungnya nambahnya cepet, makasi, kalian perlu download karna bisa menahan kegabutan saat tidak ada kuota/wifi"
Pengguna Google,1,2025-04-12 03:14:08,"seru sih seru, tapi buat kita kesal juga pas skor udah tinggi ada aja tuh yang besar block nya mana tempat nya kecil lagi banyak iklan, tolong dong developer di benerin lagi"
Pengguna Google,5,2025-04-08 15:16:34,"bagus banget, btw suara nya juga candu,apalagi kalo aku punya masalah pasti obat penenang na itu game ini! jadi meredakan stres sih menurut aku,sambil ngasah otak kita juga.terimakasih. ."
Pengguna Google,5,2025-04-09 05:51:45,Game nya bagus bgt ga ada kekurangan di game ini pokoknya bagus bgt. kalo aku mau kalah pasti taro blok yg sesuai......... bagus bgt lah .game ini juga paling populer kalo aku gaada data/kuota pasti main ini. game ini aku namain raja game👑👑👑👑👑
Pengguna Google,5,2025-04-12 11:06:06,"mantep nih game kesukaan ku, sebenernya sudah pernah download tapti kehapus😅, trus dapet di aha game, kemudian kudownload di playstore, jujur sih nih gilak keren dan bagus banget kalo mau dimainin pas gabut atau capek😁"
Pengguna Google,5,2025-04-10 03:58:53,Karana game nya sangat baik banget tapi banyak iklan nya jadi sayang kuota jadi cepat habis walau pun datanya udah di matiin tapi tetap iklan saja tolong di banyakin lagi iklan nya sekian terima kasih wassalam bersabda sesungguhnya manusia Takan bisa hidup kembali wasalam mu Alaikum warahmatullahi wabarakatuh
Pengguna Google,5,2025-04-10 01:55:48,"sumpah ini permainan meredakan emosi banget udah main mudah skor nya naik trus dah lah kalian jangan basa basi buruan download aja kebuju memori kalian penuh nanti mantapppppppppp,aku suka makanya aku kasih bintang 5 kalo ada bintang 10000 aku kasih di permainan ini"
Pengguna Google,5,2025-04-11 09:11:43,ini permainan yang sangat seru sangat bagus untuk di gamer permainan untuk waktu luang kalian sangat seru ini blacklist kau tidak diinstal begitu sekali ya guys ya oke mantap permainan ini sangat seru jangan lupa dikasih bintang 5 untuk bahagianya oke mantap Ponjong panjang imut berurat mantap
Pengguna Google,5,2025-04-09 12:35:16,"Game ini sangat seru dimainkan saat tidak ada wifi, dan game ini sangat menghibur karena saat block habis ada notif yg suaranya unik dan menarik😁😁. Pokoknya game ini sangat seru, menghibur, dan mudah untuk dimainkan👍👍👍."
Pengguna Google,5,2025-04-13 00:40:26,game nya seru banget bisa offline sama online biasanya suka nge bug aku lebih candu yang anbelivebel candu banget hampir setiap hari aku main block blast seru banget kalau baru download cepat bangettt
Pengguna Google,5,2025-04-09 13:56:51,game ini tuh seru banget apa lagi kalau semua Fulll habis kek itu tuh kebahagiaan banget terus menantang bgt apalagi kita yang ga suka ditantang akhir nya tuh kalau full habis semua nya kek menurut aku itu kebahagiaan banget 😁😁😁
Pengguna Google,4,2025-04-11 13:01:44,game ini sangat menarik. tetapi tolong perbaiki bug seperti saat contoh puzzle block terdapat bug. mohon kerjasamanya Terima kasih.
Pengguna Google,5,2025-04-12 17:12:55,"awal nya iseng main ternyata ketagihan apalagi diwaktu luang, game nya simple bentuk sperti tetris tapi strategi nya menghilangkan semua blok."
Pengguna Google,5,2025-04-13 13:59:08,walaupun game seperti ini sulit bagi saya dan juga saya selalu kalah tapi saya tetap kasih afresiasi untuk game ini karena membuat ramai membuat orang tertarik dgn game yang sudah lama hilang dan jarang di mainkan bintang 5 untuk game ini👏👏👏👏
Pengguna Google,5,2025-04-13 12:41:04,game nya sangat seru dan menarik jadi saya suka sekali dengan game block blast dan bukan hanya karena itu karena block blast itu gratis loh jadi kalian bisa mainkan game ini dengan tidak pakai data
Pengguna Google,5,2025-04-13 14:17:22,"candu bgt sama ambelibabel nya 😭🎀 game nya baguss bgt offline lagi jadi kalo lagi g ada kuota atau lagi gabut kalian bisa mainin game ini,,mmng seseru itu deh ibu aku pun download ini😭 pdhl awalnya ibu aku main nya di hp aku eh tau nya dia juga download 😭🤏🏻 sekian info dari saya mksh 🤧😆 assalamualaikum Wr. Wb. 🙌🏻😻"
Pengguna Google,5,2025-04-09 09:25:28,"gem ini menarik dan sangat seru dan macam teka-teki warna dan saya kasi bintang 🌟🌟🌟🌟🌟 ayo donlod gem nya apa lagi coba sekarang dan mainkan sepuasnya tapi Ngat waktu walau pun gem ini seri tapi tak bole melebihi batas waktu conto ) solat , ngaji , tadarus , afalan Al-Qur'an dan sebagainya sekian terimakasih semoga bermanfaat ya buat sobat sobat"
Pengguna Google,5,2025-04-08 15:05:26,"sangat menyenangkan, permainan yg dianggap biasa saja tapi sangat luar biasa.. mnyenangkan di mainankan saat lagi waktu kosong. terimakasih BLOCK BLAST! 🙏👍"
Pengguna Google,5,2025-04-13 02:35:32,Bagus. Permainan mengasah otak yg simple. Score tertinggi baru bisa sampai 150ribuan dan masih mencoba untuk bisa mendapat score yg jauh lebih tinggi lagi
Pengguna Google,5,2025-04-11 08:42:36,omg! bagusss bgt sih tapi yg bikin takut Thu setiap kita GK maen game atau melakukan apa apa Thu kek selalu kebayang kalo kita lagi maen block blast gitu loh selalu ad bayangan puzzle gitu lohhhhh🥰😅
Pengguna Google,5,2025-01-19 15:03:36,Asyik & seru.Mengajari kita utk bisa mencari celah yg bisa mengatasi setiap permasalahan yg ada dalam hidup.Bisa meredakan ketegangan & bisa melupakan sejenak kejenuhan & rasa tegang.Tolong selalu ada update & background yg baru agar tidak bosan.🙏
Pengguna Google,1,2025-03-14 04:13:48,"Game gk worthit, cuma bisa stuck di score 3000an setelah itu dikasih block yg bikin buntu biar langsung kalah, setelah itu kita bakalan nonton iklan karena terpaksa untuk lanjutin score sebelum ny. Tetapi kita nonton iklan untuk lanjutin score sebelum ny juga gk guna karena setelah beberapa giliran, kita juga bakal diberi block buntu lagi. Siklus nya begitu terus, intinya ini game hanya untuk mendapatkan keuntungan dari iklan. Berbeda dengan konsep game block lain yg pernah saya mainkan."
Pengguna Google,5,2025-04-08 02:41:56,"game nya bagus. tapi tolong dikembangin lagi karna ada bug,, saya tidak menyalakan data atau wifi tapi pas saya kalah di game ini saya pencet revive .,malah hidup lagi padahal saya tidak punya koneksi internet ataupun wifi. ...sekian terima gaji😊"
Pengguna Google,5,2025-03-30 15:03:12,"sangat seru.... awalnya saya coba main di HP cici saya ternyata seru bikin ketagihan!! cocok buat yg ga punya data/habis datanya bosan tinggal main ini!! awalnya saya tidak tertarik untuk mempunyai di hp saya tp di tiktok selalu #fypp trs..... lalu saya mengunduh game ini sangat seru!! #minggu30-03-2025, 22.03"
Pengguna Google,5,2025-03-25 00:18:57,"Block Blast! game yang seru bisa dimainkan kapanpun dan dimanapun game nya offline jadi tidak perlu wi-fi dan kuota internet game nya mudah dan menyenangkan,game ini juga sangat unik kita harus menyusun kotak kotak dan jika tidak muat berarti kita gagal,oke segitu saja ya,saran saya mungkin pihak Block Blast bisa meng upgrade game ini agar bisa lomba 1 vs 1 secara online Terimakasih ya pihak Block Blast"
Pengguna Google,5,2025-04-11 08:20:29,"block blast adalah game yang bisa merubah pola pikir saya dalam membuat pilihan dan memberi makna bahwa sedikit kesalahan dalam memilih sekarang akan merubah pola hidup dimasa depan, aku cinta blok blas🔛🔝🥀🔥💯🗣️"
Pengguna Google,5,2025-04-10 02:24:32,aku dikasih menang sama game ini request hanya bagus bagus bagus bagus banget kecuali kalau pakai data nonton iklan kalau nggak pakai data iklan tapi agak susah juga salon game ini game gabut terima kasih atas pihak game sudah ah kasih saya rp40.000 skor makasih ini pencapaian
Pengguna Google,5,2025-03-26 13:40:04,"Sumpah, seru bgt njirr gk pernah bosen mah kalau gini.tapi...harusnya main sama temennya itu offline 😭 tapi gpp lah penting seru dimainin. dlu gk viral tapi sekarang tersebar dimana mana 😭👌 bagi yg gk punya kouta/offline, mending main ini, dijamin ketagihan 🤩 Ada aja tapi bug nya jadi harus sabar 🗿 gitu aja yg aku sampai kan bayyy 👋"
Pengguna Google,5,2025-04-06 05:40:04,permainan ini seru banget kayak tantangan gitu kalian wajib coba deh tpi iklan malas banget kalo ada iklan nya tolong ya yang membuat mainan ini tolong di ilang kan iklan nya tpi tetap seru kok aku kasih bintang⭐ 5 👍👍👍☝☝
Pengguna Google,5,2025-04-08 02:48:05,"HELLO HUNGRY STUDIO DAN KALIAN SEMUAAA!!! aku awwalia, ini adalah ulasan rating ku sendiri menurut ku kenapa game ini populer? akhir akhir ini game ini sangat populer, aneh padahal hanya game seperti ini, aku sebenernya tak tertarik pada awalnya, hingga akhirnya, aku... mendownload ini, eh tak disangka sangka? game ini bisa menjadi bahan gabut saat ga ada sinyal internet (wifi), asik sih, tapi.. menurut ku biar lebih menantang bisa lihat orang yang paling banyak best score nya, hehe mksh"
Pengguna Google,5,2025-04-07 13:42:00,"saya sangat suka apk ini,mudah di mainkan dan asik sekali, saya sudah berkali kali main game ini,sangat seruu sekali,buat yg ga percaya cobain dan download sendiri deh dijami nagihh banget main nya yuk langsung download"
Pengguna Google,3,2025-03-19 17:00:52,"dear developer!!!!!.tolong di hp saya selalu ga ada iklan padahal saya udah menggunakan data dan wifi saya,padahal sinyal bagus,tpi masi tetep ga ada iklannya,tolong perbaiki device:OPPO A37F versi android:5.1.1 versi colorOS:3.0.0i catatan📃:NANTI SAYA KASIH BINTANG 5 KALO UDAH DI FIX BUG NYA!!!!!"
Pengguna Google,5,2025-04-08 12:53:47,"bagus banget game nya, itu game aku rekomendasi buat siapa aja yang suka gabut atau bosen main game itu itu aja, coba deh kalian download game ini, pasti ketagihan, aku sampe dapet 35.000 skor gara gara gak sadar udh main lama, udh deh gausah banyak tanya+basa basi nya, ini gak berbahaya dan pastinya aman dong, dan ini juga bisa buat penghilang stres buat yang lagi galau, gabut ataupun lagi diluar trus gak ada kuota bisa banget nih main game ini, udh deh jangan kebanyakan tanga download aja buru"
Pengguna Google,3,2025-04-05 09:34:52,"game bagus but mau revive atau engga tetep aja ada iklan nya,iklan nya jujur aja ganggu bangett ,bikin g mood main mau offline atau online tetep aja iklan Mulu. tolong kurangin iklan nya klo bisa iklan nya pas revive aja."
Pengguna Google,5,2025-04-06 07:25:26,Game nya bagus tapi ada yang kurang di adventure menurut gua ya di level 30 susah banget tolong dimudahkan ya gamenya udah bagus kok itu aja saran dari saya assalamualaikum
Pengguna Google,4,2025-03-31 11:45:08,"kenapa update di hp tertentu berbeda-beda? padahal versinya sama dan saya lebih dulu ngedownload gamenya tapi updatenya paling belakang. Contohnya setiap saya nyusun block, scorenya naiknya dikit dan lama, sedangkan di hp saya yang lainnya cepat."
Pengguna Google,4,2025-04-07 15:24:10,sebenarnya bagus bisa hasilin nilai tertinggi dan mengubah otak pintar temenku aja dapat duit dari game ini emang iya aku kasih bintang 4 karena tolong ikhlanya dihapus semua bair enggak ganggu tapi kalau semua bener tak kasih bintang lima sekalian bagus sih gemnya berusaha terus ya😊😊😊😊😊 saranku itu aja walaupun ikhlanya. dibayar mahal 💐😊
Pengguna Google,5,2025-04-07 07:15:19,"seru sekali permainan block blast ini,offline,dan menyenangkan,jika saya lagi kesal,saya bermain ini langsung hilang semua masalah,saya beri 5bintang,karna ini seru dan menyenangkan,terimakasih play store dan block blast🙏👋"
Pengguna Google,5,2025-04-10 09:49:02,"gamenya bisa hilangin ke bosenan,terus gak pake internet jugaa,pokonya seru dehh,tapi kalo pake internet ada banyak iklan jugaa,jadi kalo main game ini buat yang bosenn aja ditambah kalo kalian gak ada internett,pokonyaa game ini tetep seruu dan bisa buat tanding sekor sama temen jugaa,game ini pokonya buat kita ketagihan mainn.. udahlah gitu aja pokonya ini game baguss kasih bintang lima gess jangan lupaa ★★★★★"
Pengguna Google,5,2025-04-04 10:45:55,ini game seruu bet dahh.kalo lagi ngk ada Kouta / jaringan ngk daa.solusi yang tepat ya main game ini.tapi ya sejujur nya coba pas lagi online jangan muncul iklan.tapi kalo kalian ngk mau muncul iklan yaa matiin data nya sih.itu aja pendapat saya.OWH YAA kalo bisa di tambahkan blok nya jangan itu itu aja yaa
Pengguna Google,5,2025-04-08 07:33:26,ini game nya bagus banget kalian harus cobain trus game nya gak ada iklan nya ❤ pokok nya gak ada kurang ny dehhh seru juga jadi kalo aku lagi gak ada kuota bisa main ini dan kalo aku lagi gabuuttt pantes aja di tiktok yang fyp bukan mukhang sekarang mah tapi block blast! yang seruuuuuuuuuuuuuuuuuuu banget ter banget bangetttttt deh dan makasih yang udah bikin game iniiiiiiiii game nya gak nge lag kaya yang lain aku sukaaaaaaaaaaaa banget ini game berharga kata aku teeeer berhargaaaaaaaa bangett
Pengguna Google,5,2025-03-27 08:30:59,gamenya seru bisa dimainkan jika tidak punya kuota atau sedang berpergian. baru kali ini saya mau tidur harus mikir cara nyusun block. walau seperti itu game ini sangat cocok dengan saya yang gampang bosan. saya harap kedepannya ada banyak peningkatan dari game ini.
Pengguna Google,5,2025-04-05 01:29:00,"game nya seru bikin ketagihan terus offline lagi, pokoknya kalian harus download ini!!.. ini bisa untuk waktu senggang menghilangkan kebosanann selama beberapa waktu🙆🙆 aku merasa bisa lupa waktu juga kalo main game ini seru bangettt 🌟🌟🌟🌟🌟 jangan lupa download ya guyss"
Pengguna Google,5,2025-04-08 03:08:20,"game nya seru,tapi..,MB nya 144 bisa dikurangi gak?pas di DOWLOAD 147 MB nya,plisss kurangi lagi dong min,soal nya banyak hp yg lain gak bisa pen juga main game ini,kan lagi trend banget,"
Pengguna Google,5,2025-04-06 18:19:13,game kagak adil bagi besar besar waktu gak ada ruang giliran ada ruang malah baginya kecil kecil(tapi ianya juga game yang bagus dan menyenangkan walau begitu ia juga merupakan sebuah tantangan untuk mencari ruang)
Pengguna Google,5,2025-04-03 23:32:16,"bagusss bangett gamee nya!!bisa offline dan bisa online juga,ngilangin gabut,dari anak kecil sampe tua ini juga bisa di mainan menurut aku,bagusss deeh ini gamee,apalagi sekarang viral,jadi banyak yang mainin,tetep semangat yaa block blast,"
Pengguna Google,5,2025-03-24 14:02:01,"suka banget si sama game ini,soalnya ga gampang ngebosenin. terus mainin nya seru banget lagii,pokonya dijamin gabakal bosen😻 kita juga harus menyusun block¹ yg di sediakan,dan bermacam macam blocknyaa👍🏻 seru banget deh ini gamenya😄"
Pengguna Google,5,2025-04-10 06:14:55,Awal mulai dari 0 sampe 10.000 bagus bloknya sesuai dengan yg kosong tapi setelah memasuki puluhan ribu bloknya langsung ga beraturan lagi mohon diperbaiki KLO memang ga beraturan coba dari awal
Pengguna Google,5,2025-04-08 08:17:21,"bugnya bagus bgtt, halo haloo ada yang setuju ga ni klo tiba tiba block blast rame?? kalian tau kenapa?? karnaaaa... gamenya lucuuu,bugnya bagus,dan cocok buat yang gaada pakett,ini game offline yaaa<3"
